Name|LAT|LON
"ilankedisi.com"|41.008238|28.978359
"SINGAPORE STANDARD"|1.352083|103.819836
"Acumagnet"|32.259315|-90.422595
"Blow Me Hair App "|34.052234|-118.243685
"Blow Me Hair App "|34.052234|-118.243685
"Foodoozle.com"|26.318412|-80.099766
"TechPepper"|42.360083|-71.05888
"Live2Create Foundation for the Arts"|4.570868|-74.297333
"Gentlemen' Basics"|45.501689|-73.567256
"Westphalian Energy"|42.360083|-71.05888
"Bot Colony Productions"|45.501689|-73.567256
"HomeQ - UK Property Questions & Answers"|51.507351|-0.127758
"Premium Financing R Us"|34.142508|-118.255075
"Premium Financing R Us"|34.142508|-118.255075
"BEARING DATA"|-23.55052|-46.633309
"Sideric"|60.173324|24.941025
"Livento Investments"|40.712784|-74.005941
"Fortune 500 Marketing Solutions"|26.715342|-80.053375
"www,bluesky.today"|50.375457|-4.142656
"Everest"|37.77493|-122.419416
"Gymbud"|40.712784|-74.005941
"EHONISSA"|45.501689|-73.567256
"HomeOjO"|37.441883|-122.143019
"Femonoe"|37.77493|-122.419416
"GRINTLY"|55.755826|37.6173
"Eventshot"|37.566535|126.977969
"Australian MOOC Academy"|-33.867487|151.20699
"Gift Of A Helping Hand Charitable TR"|42.331427|-83.045754
"Poolhouse"|43.653226|-79.383184
"Nutrit"|40.417287|-82.907123
"NaturelBiotech"|23.634501|-102.552784
"goNext"|25.686614|-100.316113
"TIBB"|32.0853|34.781768
"BarNY"|55.008353|82.935733
"BarNY"|55.008353|82.935733
"GovBrain"|38.907192|-77.036871
"Imua"|41.878114|-87.629798
"Converti.co"|33.448377|-112.074037
"laserde.com"|52.520007|13.404954
"UAB Photo1Moment"|55.934909|23.313682
"Indago"|34.052234|-118.243685
"Vidspoke"|43.653226|-79.383184
"Eyon Network Security"|37.45296|-122.181725
"Moneyworks"|37.45296|-122.181725
"Madfoo3atCom for ePayments, PSC"|31.956578|35.945695
"VR Tech Labs"|17.385044|78.486671
"Hellosuckers Capital Management"|51.489015|-2.060458
"WeddingAdvisor"|35.085334|-106.605553
"Minamate"|34.139729|-118.035345
"HardDrones"|42.878213|-8.544844
"Pipe Wipes"|36.169941|-115.13983
"GameDate"|43.08313|-73.784565
"Listinghack"|28.538336|-81.379236
"Soundtracks.io"|40.712784|-74.005941
"Telemedicine24.org"|20.96737|-89.592586
"SII"|38.907192|-77.036871
"fotovio"|48.135125|11.581981
"Destaca.me"|42.878213|-8.544844
"TechConnectr"|37.354108|-121.955236
"Traderous"|33.748995|-84.387982
"Musicinfo"|62.244747|25.747218
"Tweetdelay"|51.441642|5.469722
"Ekaay Typeless Login"|19.075984|72.877656
"Kutoa"|43.653226|-79.383184
"SinCity Steampunk Dolls"|36.198859|-115.117501
"Medstro"|42.360083|-71.05888
"SVR"|40.058324|-74.405661
"The Original Brand Corporaton"|28.538336|-81.379236
"CLOUDSCLOCK"|37.77493|-122.419416
"2wenty7even"|19.075984|72.877656
"Super Turbine"|31.230416|121.473701
"Royal Spitfire"|51.507351|-0.127758
"Betify"|51.507351|-0.127758
"Racedingo"|44.763057|-85.620632
"English Connection"|37.566535|126.977969
"MoonRabbit Design Studios"|-30.559482|22.937506
"Cosmic Games"|-31.953513|115.857047
"prana.co"|37.77493|-122.419416
"BollywoodTickets.com"|40.712784|-74.005941
"Autotall"|-31.420083|-64.188776
"DATANEXT"|47.376887|8.541694
"NAMU"|52.229676|21.012229
"Education.bg"|42.733883|25.48583
"Farmacias Inteligentes 24 "|20.96737|-89.592586
"1st Wellness & Performance"|33.748995|-84.387982
"ElfBite"|60.128161|18.643501
"TheCopperCop"|32.715738|-117.161084
"Fans Cloth ID"|-7.575489|110.824327
"eMERAHAAT RETAIL PRIVATE"|22.572646|88.363895
"BEE"|37.77493|-122.419416
"Social4Social"|45.465422|9.185924
"JóòMah"|40.712784|-74.005941
"best sport drinks"|45.501689|-73.567256
"FoodTrace"|41.878114|-87.629798
"Fractal Systems"|27.751828|-82.626734
"Walter Smith & Tru Praize"|42.331427|-83.045754
"Kalos Media"|51.507351|-0.127758
"ECG healthcare system"|45.267135|19.83355
"Selxfy App"|51.507351|-0.127758
"ONPLACE.ME"|61.52401|105.318756
"Flood Valley Brewing"|38.907192|-77.036871
"The420effect.com"|36.778261|-119.417932
"Limitless: Outerwear"|42.360083|-71.05888
"Catoctin College"|38.907192|-77.036871
"Jobbox"|37.77493|-122.419416
"Makoo Jewels"|41.902784|12.496366
"TransAction Group"|51.507351|-0.127758
"Tevatronic"|31.804381|34.655314
"Alinemar Group"|45.696475|27.184043
"Personal Assistant Plus"|33.473498|-82.010515
"supscri.be"|20.593684|78.96288
"sounderbox"|47.218371|-1.553621
"Yconomus"|1.352083|103.819836
"eCash.com"|37.09024|-95.712891
"CARPEDIEM"|9.30769|2.315834
"SVP Systems"|40.179186|44.499103
"Kiseguro"|22.396428|114.109497
"Recommend.ly"|37.77493|-122.419416
"Bounce Industries"|31.230416|121.473701
"Design Credits"|6.927079|79.861243
"LinkPad"|39.290385|-76.612189
"Brewed In Chicago"|41.878114|-87.629798
"Kydalov & Partners"|50.4501|30.5234
"TISZAI MEDIA"|28.083627|-80.608109
"Fusion Services of Florida"|27.664827|-81.515754
"Lucky 7 Angels"|37.77493|-122.419416
"TV Tog "|25.204849|55.270783
"Refuel Group Fitness"|43.04673|-77.095252
"Winner Takes All"|52.370216|4.895168
"Project Airplane"|-14.235004|-51.92528
"Digital Marketing Courses"|13.08268|80.270718
"Agora"|48.379433|31.16558
"Voyz.es"|37.45296|-122.181725
"Mile High Hempfest"|39.739236|-104.990251
"ISocial "|37.207906|-4.657306
"TixAlert "|32.715738|-117.161084
"Market Analyst"|38.882334|-77.171091
"Benefit"|42.96336|-85.668086
"Desire"|47.158455|27.601442
"www.crowdfundtrips.com"|12.971599|77.594563
"WEARTECH INC. "|37.77493|-122.419416
"3P eVentures"|25.354826|51.183884
"Unique Lab Services"|33.448377|-112.074037
"Figure"|47.60621|-122.332071
"Linkia Soluções de E-commerce"|-19.916681|-43.934493
"White-Out Reviews"|41.081445|-81.519005
"Epic Studios"|50.159459|7.359079
"Viridi Technology "|39.768403|-86.158068
"Unium"|55.755826|37.6173
"Myster"|38.907192|-77.036871
"Mentor Lane"|50.110922|8.682127
"Unique Lab Services"|33.448377|-112.074037
"AtYourService"|35.126413|33.429859
"PORTAL Music Festival"|46.878718|-113.996586
"MB Trading VN"|21.027764|105.83416
"Better Energy"|41.878114|-87.629798
"Cruisapalooza"|42.360083|-71.05888
"OfficeRiders"|37.77493|-122.419416
"Commerce Futurists"|40.760779|-111.891047
"Admirchi"|18.52043|73.856744
"Green Web Design"|24.299174|54.697277
"BUSINESS DEVELOPMENT NETWORK"|33.985047|-118.469483
"FallFor"|40.712784|-74.005941
"Too Much Sense Productions"|30.267153|-97.743061
"SmashMouth Fantasy Sports"|25.790654|-80.130045
"Nebel.TV"|37.386052|-122.083851
"Sentinel web technologies"|51.507351|-0.127758
"gde.ru - online classifieds"|61.52401|105.318756
"Integralsoft"|-17.413977|-66.165322
"Flash Messenger"|38.907192|-77.036871
"MyBeeble"|33.42551|-111.940005
"CrowdFund Beat Media Group"|37.386052|-122.083851
"eJobba.com"|33.42551|-111.940005
"SoapBox"|37.983917|23.72936
"Acegamingsoftware "|48.135125|11.581981
"www.dbateria.com"|40.416775|-3.70379
"achatlaser.com"|48.856614|2.352222
"Bitcoin Brothers S.R.L"|-38.416097|-63.616672
"SanFranSEO"|37.77493|-122.419416
"Perfect Pizza Company"|45.357343|-122.606758
"Perform Pro"|53.349805|-6.26031
"Dasα"|23.022505|72.571362
"mod12"|41.008238|28.978359
"MOSIGAH"|48.856614|2.352222
"iHang Media "|33.448377|-112.074037
"OUTview TV"|47.60621|-122.332071
"BulkmailVps"|37.09024|-95.712891
"Media BCD / Concerto Records"|45.501689|-73.567256
"3Dogs Innovations"|39.952584|-75.165222
"GTS CENTRAL EUROPE ZRT"|47.162494|19.503304
"JIN Technologies"|40.357298|-74.667223
"Shannon's Gourmet"|39.290385|-76.612189
"Placeview.in"|50.4501|30.5234
"Haggell"|28.083627|-80.608109
"Umbrella"|53.759594|87.12157
"QuantCore Capital Management"|38.910833|-75.52767
"Guardian Technologies "|40.58526|-105.084423
"Chattanooga Express Inc "|40.768434|-74.145421
"Bauws"|4.710989|-74.072092
"Cohaper"|43.653226|-79.383184
"LiTeAfrica"|39.739236|-104.990251
"IT Bowl Web Design & SEO"|37.77493|-122.419416
"Arch Advantage"|35.04563|-85.30968
"Wireheads Labs In"|45.638728|-122.661486
"Virtual Las Vegas"|36.169941|-115.13983
"Onarbor"|42.373616|-71.109733
"AudioSnaps"|41.385064|2.173403
"ProVivoX"|45.501689|-73.567256
"MindQube "|36.977173|-121.899402
"LiTeClick"|47.497912|19.040235
"Pagido"|52.520007|13.404954
"Altruus "|30.267153|-97.743061
"EduToday"|59.93428|30.335099
"cycle.io"|37.77493|-122.419416
"Rachel'Z  Cakes & Coffee"|38.029306|-78.476678
"returnhelp"|31.554606|74.357158
"Michael De Paulo"|40.712784|-74.005941
"Longman Suntech Energy Pvt."|19.075984|72.877656
"PurpleCloud Technologies"|39.952584|-75.165222
"Quick Hang door installing systems"|-33.867487|151.20699
"maxMustermann"|40.712784|-74.005941
"Exchange Recovery Tool"|3.321334|-76.235361
"Ensemble Online"|36.746842|-119.772587
"SLC Valve Repair Services L.L.C"|41.355654|-72.099521
"Goldman Global & Greene (3G)"|40.712784|-74.005941
"Pvrenet"|43.61871|-116.214607
"Nauchi me"|42.697708|23.321868
"Yardarm Technologies "|36.975228|-121.953293
"CLT+"|35.227087|-80.843127
"STARS COMMUNITY DEVELOPMENT"|36.169941|-115.13983
"Truth Be Told Productions"|39.952584|-75.165222
"MashDrop"|34.146647|-118.807373
"Profit Shastra"|18.52043|73.856744
"PRmoter"|44.786568|20.448922
"Jewelers Link"|34.052234|-118.243685
"jefonline"|35.689488|139.691706
"Kwangl"|22.396428|114.109497
"Bunni's Vintage Boutique & Cafe"|29.951066|-90.071532
"EasyEye"|32.776664|-96.796988
"Trash Riot"|36.169941|-115.13983
"Planet Hydra"|34.052234|-118.243685
"Candyland"|-36.84846|174.763332
"Great Insurance (GI)"|22.396428|114.109497
"SwiftLaunch"|45.638728|-122.661486
"Promoto"|41.008238|28.978359
"CgC Daily"|34.052234|-118.243685
"Qlientstream "|59.6099|16.544809
"Sharp SEO Services"|30.36742|-89.092816
"IMOSNAP"|51.17089|5.166828
"ARPS"|44.786568|20.448922
"CORI.IO"|37.77493|-122.419416
"Pixeplus"|38.581572|-121.4944
"MamedovCo"|28.279756|78.010976
"OUKSHEN"|49.398752|8.672434
"Spinbackup"|39.739072|-75.539788
"igroup"|51.507351|-0.127758
"VIKĀSA"|44.426767|26.102538
"Zenit"|53.241504|50.221246
"Qaribo"|18.486058|-69.931212
"Mzines Digital"|47.60621|-122.332071
"ebooxter"|44.786568|20.448922
"Fallterms"|40.335648|-75.926875
"Guud"|47.60621|-122.332071
"We Do events & wedding Planning "|30.04442|31.235712
"FaceReview"|39.920541|-105.08665
"Munarsh I.T Service"|24.861462|67.009939
"WINE PROJECT S.A.S."|48.863812|2.448451
"YUKANG International"|40.712784|-74.005941
"YouJoin"|51.507351|-0.127758
"IFA Prowear"|39.755543|-105.2211
"Robiee"|32.514947|-117.038247
"International Power & Energy"|41.671765|-72.94927
"Bizigo OTA"|14.058324|108.277199
"Dashboards to Desktops"|25.908706|-80.308662
"Foogi"|-33.867487|151.20699
"BuckGet.com"|40.440625|-79.995886
"BuckGet.com"|40.440625|-79.995886
"hulabuk"|51.507351|-0.127758
"MGI Productions"|32.776664|-96.796988
"Game Rocket Studio"|37.871593|-122.272747
"Dentinal Tubules"|51.507351|-0.127758
"THT Films"|33.857328|-84.019911
"SWOX"|48.135125|11.581981
"Attensee"|52.406374|16.925168
"NewHaus"|32.514947|-117.038247
"Any Tasker"|30.733315|76.779418
"Stallion Rockshore"|58.377625|26.729006
"Barterd.in"|12.971599|77.594563
"FINEX MEDIA SERVICES"|28.613939|77.209021
"Trioed"|-33.867487|151.20699
"LinkedAge"|46.056947|14.505751
"Imm'@gile"|48.856614|2.352222
"Thank You."|46.186561|21.312268
"Corridor Transit"|35.46756|-97.516428
"CheckDroid"|33.748995|-84.387982
"BEQ INVESTMENT"|4.710989|-74.072092
"Cityglobe"|40.712784|-74.005941
"Squarecoins.com"|28.613939|77.209021
"Circonference"|45.501689|-73.567256
"Alpha "|37.77493|-122.419416
"Exhale"|44.426767|26.102538
"Tonelive"|46.729553|-94.6859
"Federal Baseball"|38.901223|-77.26526
"Inquisto"|13.08268|80.270718
"BitcoinsWatch"|40.712784|-74.005941
"NOT YET CHOSEN"|51.507351|-0.127758
"Maoni"|55.755826|37.6173
"Drupal Development Milan"|45.465422|9.185924
"Bulldog Digital Media"|34.052234|-118.243685
"MIR Apparel"|40.712784|-74.005941
"WexPortal"|49.19506|16.606837
"The Haleem Campus (schools )"|31.554606|74.357158
"Kampung Quest"|3.139003|101.686855
"Galef"|51.507351|-0.127758
"Bella Lounge"|29.760427|-95.369803
"resQRant"|33.717471|-117.831143
"D'Vine Events & Entertainment "|35.227087|-80.843127
"GET THE DEAL NOW"|22.396428|114.109497
"Verge"|48.379433|31.16558
"AfroTrapMedia "|51.507351|-0.127758
"HalifaxBusiness.com"|54.687156|25.279651
"FromMap"|37.77493|-122.419416
"inkSIG digital"|44.977753|-93.265011
"The School Day"|32.715738|-117.161084
"Atlas Conserve"|-1.292066|36.821946
"osmartex and company Nig"|6.524379|3.379206
"DevJournal"|45.039267|38.987221
"Black Bird"|-6.283522|106.711293
"Krave Greatness"|41.252363|-95.997988
"Urban Style Academy"|39.961176|-82.998794
"Amogam eBusiness"|13.08268|80.270718
"AyeTraye Productions "|33.748995|-84.387982
"Fresh Vibes"|34.924867|-81.025078
"Musican"|46.482526|30.72331
"All Marble Tiles"|40.712784|-74.005941
"Appiquest"|47.218371|-1.553621
"Curious LabX"|24.861462|67.009939
"Coversant"|38.752124|-121.288006
"ANIMATE AND SAVE WILDLIFE"|41.008238|28.978359
"Market Prophet"|37.338208|-121.886329
"Serrurier antibes "|43.580418|7.125102
"Stylenda"|33.985047|-118.469483
"uminca"|37.804364|-122.271114
"B.R.A.T. Diet"|35.282752|-120.659616
"Mity Nice"|42.280826|-83.743038
"RUE CINQ"|25.76168|-80.19179
"Nazarite Media"|28.538336|-81.379236
"Klinns"|39.074208|21.824312
"None"|56.130366|-106.346771
"Bc267 Cartooning Company"|39.952584|-75.165222
"SWB"|38.907192|-77.036871
"PushVendor"|31.761878|-106.485022
"VGO"|37.387474|-122.057543
"ChefsNshape"|42.360083|-71.05888
"Cannby"|45.523062|-122.676482
"Come Bien"|19.432608|-99.133208
"JP Investment"|37.09024|-95.712891
"Make Fashion"|47.60621|-122.332071
"Linda"|6.524379|3.379206
"CaptainLeads"|34.052234|-118.243685
"edIQ"|39.952584|-75.165222
"Deespatch"|43.580418|7.125102
"Sling"|32.0853|34.781768
"The Seven 5"|36.850769|-76.285873
"EUROGROUP INDUSTRIAL KITCHENWARE"|51.160523|71.470356
"Blue, Red and  Green"|41.081445|-81.519005
"MIB Systems"|39.952584|-75.165222
"YWMobile"|37.566535|126.977969
"Glory"|47.60621|-122.332071
"VC Fund (India) "|19.075984|72.877656
"Ballcapp"|52.090737|5.12142
"Clubs in NYC"|40.712784|-74.005941
"Inksav.com"|4.710989|-74.072092
"Top World Traders"|44.426767|26.102538
"Herocondoms"|-33.283577|149.10127
"coJuvo"|47.60621|-122.332071
"Zstat"|42.373616|-71.109733
"Aurora Global"|20.659699|-103.349609
"DaddyMotors"|55.755826|37.6173
"Travelience"|35.689488|139.691706
"Yssete"|40.712784|-74.005941
"Quantum Therapeutics "|26.122439|-80.137317
"Better: The Game"|41.008238|28.978359
"TheStartupJournal"|20.296059|85.82454
"Lifestyle Design Co."|35.689488|139.691706
"Xcelthera"|32.715738|-117.161084
"OpipariDesignGroup"|42.48948|-83.144649
"Splitzee"|42.360083|-71.05888
"Penny Stock Dream"|40.712784|-74.005941
"Ctartup"|26.820553|30.802498
"DGTS"|37.77493|-122.419416
"Hillpoint Enterprise Inc. DBA Handy Mart"|47.60621|-122.332071
"SafeLain"|30.267153|-97.743061
"Hehecook Inc,Co"|37.77493|-122.419416
"Delphi Amphitheater"|36.169941|-115.13983
"247 FINANCE DEAL COMPANY, INC., "|44.466994|-73.17096
"PlayZa"|32.165622|-82.900075
"EntiRx Technologies"|17.385044|78.486671
"EDB to PST PRO Converter"|3.321334|-76.235361
"House of Swag"|43.16103|-77.610922
"Lindora"|9.928069|-84.090725
"Scholomance"|45.943161|24.96676
"Pic Space"|42.360083|-71.05888
"Youtubevarsity"|20.593684|78.96288
"Taskbiller"|53.349805|-6.26031
"Super Adventure Mega Quest"|45.638728|-122.661486
"LIQUORBOX"|40.712784|-74.005941
"Let It Shine Auto Motorcycle Detailing"|40.52062|-81.474005
"Quezzle"|50.4501|30.5234
"DOLL AND DUDE AVENUE"|3.127887|101.594489
"Pitch Fade"|34.052234|-118.243685
"ToastyTote"|38.982228|-94.670792
"BuyMentions.com"|37.77493|-122.419416
"Exchange EDB Converter"|3.321334|-76.235361
"Itzpapalotl- An Independant Short"|37.77493|-122.419416
"Rental Geek"|38.982228|-94.670792
"Riselo"|-6.917464|107.619123
"Web Development Las Vegas"|37.09024|-95.712891
"2Event.com"|48.379433|31.16558
"4Virtuals"|32.776664|-96.796988
"Knitle"|7.377536|3.94704
"Sellton"|48.379433|31.16558
"Jan's Custom Rides"|43.544596|-96.731103
"SharesPost 100 Fund"|37.387474|-122.057543
"Mogribu "|-4.441931|15.266293
"JeyJeCa"|4.710989|-74.072092
"Food To Grow On"|39.952584|-75.165222
"Store With Me"|36.169941|-115.13983
"Coopers Lawn and Grounds Care"|39.266742|-81.561513
"PalmyraSweet"|44.977753|-93.265011
"BioHealthonomics "|34.019454|-118.491191
"MS Exchange Server Recovery"|3.321334|-76.235361
"Off the grid Cubes"|35.91537|-94.969956
"Zank & Company"|28.083627|-80.608109
"Zebra"|33.985047|-118.469483
"EZY-Booking.com Number 1 Booking Agency"|13.756331|100.501765
"Professional Technology Services"|41.49932|-81.694361
"sensato"|40.712784|-74.005941
"Ez3D"|40.58526|-105.084423
"Smash Solutions"|40.760779|-111.891047
"Phillip Lanier, Lanier Music Services"|38.907192|-77.036871
"WP Elevate"|33.448377|-112.074037
"Float Away"|35.77959|-78.638179
"TruClinic"|40.760779|-111.891047
"Pulse Radio SA "|-33.924868|18.424055
"Rent A Gent"|40.712784|-74.005941
"Oohly"|39.099727|-94.578567
"Red Leaf Capital"|41.878114|-87.629798
"Wheely"|40.712784|-74.005941
"Manalto"|34.052234|-118.243685
"Política Esporte Clube"|-19.916681|-43.934493
"eVOLV Fitness"|35.085334|-106.605553
"RocketUpwards"|51.507351|-0.127758
"Gutenbergz"|46.482526|30.72331
"iYaboo"|23.12911|113.264385
"Northwest Memorial Medical Center"|29.187199|-82.140092
"Northwest Memorial Medical Center"|29.651634|-82.324826
"Psykosoft"|42.373616|-71.109733
"bifuncional"|4.570868|-74.297333
"HybridSite"|41.49932|-81.694361
"The Grow Nature Co"|27.950575|-82.457178
"Match Stat"|51.507351|-0.127758
"Digital Sales"|23.634501|-102.552784
"itsmytalk"|20.296059|85.82454
"NoJack"|37.77493|-122.419416
"TechFactsOnline.com"|6.524379|3.379206
"Recruiting2.0"|55.755826|37.6173
"ClinZen"|29.424122|-98.493628
"module laser rouge 20mw"|33.660939|-95.555513
"Brain N Brand"|19.075984|72.877656
"Dandora Dumpsite Rehabilitation Group "|-1.292066|36.821946
"Bliss Devices"|37.77493|-122.419416
"Futbolitos"|19.432608|-99.133208
"Collar"|53.349805|-6.26031
"Line Up Media"|39.739072|-75.539788
"Consulting Leaders Ltd "|51.507351|-0.127758
"Objectifiers"|32.0853|34.781768
"XxpressPay"|51.048615|-114.070846
"Happy Sun Decor"|32.715738|-117.161084
"PulseBeat"|37.77493|-122.419416
"Foodivate"|34.052234|-118.243685
"Superior Solar Solution"|34.052234|-118.243685
"Next Glass"|39.739072|-75.539788
"F3D Games"|51.507351|-0.127758
"Rezonver"|55.755826|37.6173
"Whispto"|51.507351|-0.127758
"Umby Racks"|-33.867487|151.20699
"FamousIdea"|27.664827|-81.515754
"Peakfactor Solution"|20.593684|78.96288
"Investfoot"|-35.675147|-71.542969
"Trekking Hero"|-35.675147|-71.542969
"Klinq"|36.169941|-115.13983
"IoT.do - Internet of Things"|25.76168|-80.19179
"NWG studios"|48.379433|31.16558
"mine"|-19.916681|-43.934493
"BidMonster Group"|-30.559482|22.937506
"Monkey Paintball"|40.622048|-74.24459
"Home Planning"|40.179186|44.499103
"9amigo.com"|12.971599|77.594563
"Social HQ"|39.768403|-86.158068
"Tunnel Lab"|-0.023559|37.906193
"Snap"|7.377536|3.94704
"Crowdfunding Compliance Center"|40.678178|-73.944158
"RueCentrale"|48.856614|2.352222
"Gapedia.com"|31.968599|-99.901813
"Pervhub"|39.952584|-75.165222
"Spawnsong"|32.715738|-117.161084
"Getourguide"|1.352083|103.819836
"Jolancer"|9.076479|7.398574
"Justin Chaplin Brown Studios"|38.907192|-77.036871
"The Definition Of Nyce Company"|42.360083|-71.05888
"American Dreaming INC. "|39.952584|-75.165222
"Camonban"|14.058324|108.277199
"Lady Flower"|33.748995|-84.387982
"Q4 Nanosystems"|42.878213|-8.544844
"MapDentist.com"|33.717471|-117.831143
"Smoothbook"|51.507351|-0.127758
"ArisingLand.com"|22.396428|114.109497
"Imagi Visualize"|-6.208763|106.845599
"TaskBeat"|53.428544|14.552812
"Vibrasol"|25.204849|55.270783
"vetidni.ru"|55.755826|37.6173
"Same Day Dumpster Rental"|25.76168|-80.19179
"Hydrobee"|47.60621|-122.332071
"Hydrobee"|47.60621|-122.332071
"Kiwii Capital"|42.360083|-71.05888
"Disabled Enabled"|54.898521|23.903597
"CrowdFranchise"|41.878114|-87.629798
"The Balancing Act"|35.46756|-97.516428
"ITHelping"|30.375321|69.345116
"the great wall"|39.904211|116.407395
"Dragon Fruit Communications"|43.653226|-79.383184
"The Dream App"|25.204849|55.270783
"Foster.ly"|37.77493|-122.419416
"ANAJ food truck manufacturers."|28.459497|77.026638
"Comestiibles"|44.837789|-0.57918
"Healium"|37.77493|-122.419416
"ENTvantage Dx"|30.267153|-97.743061
"Visidom"|37.77493|-122.419416
"Health Infotech Networks"|42.96336|-85.668086
"Updeo"|52.520007|13.404954
"GCP Solar"|5.603717|-0.186964
"ArcticFox Group / Workaholics Management"|37.77493|-122.419416
"Thinkcabs"|28.613939|77.209021
"Miinnercircle"|27.965853|-82.800103
"ArcaneCapital"|34.052234|-118.243685
"Parrainage Hellobank"|48.390394|-4.486076
"TAGPEN"|34.019454|-118.491191
"BRI HOLLOWAY "|40.712784|-74.005941
"Global Coupon "|45.638728|-122.661486
"EvaGen"|42.360083|-71.05888
"Shipey"|34.052234|-118.243685
"Sunny's Kitchen"|17.385044|78.486671
"Kwardrobe"|28.613939|77.209021
"Star Flight Income"|40.712784|-74.005941
"Zmenu"|37.57787|-122.34809
"Velo Mobile Health"|43.653226|-79.383184
"Healthdecisions.Us"|35.77959|-78.638179
"Shoptsie"|46.369557|25.795366
"JumpStartup"|28.459497|77.026638
"Hashswag.it"|34.019454|-118.491191
"Wingman "|40.712784|-74.005941
"Wannawash"|55.755826|37.6173
"Tecleor"|61.52401|105.318756
"TEC - También es Cueca"|42.878213|-8.544844
"Phoenix Capital Advisors"|41.355654|-72.099521
"GameArx"|50.4501|30.5234
"Formula206"|33.748995|-84.387982
"Parsly"|50.9097|-1.404351
"Mooshak Technologies"|18.52043|73.856744
"Deal Stampede"|41.878114|-87.629798
"Piggyback"|32.715738|-117.161084
"QLH"|15.870032|100.992541
"iCoach"|38.907192|-77.036871
"The Nifty Penguin"|30.421309|-87.216915
"Golf in Zone"|41.057319|-74.140977
"Qualiall"|-27.815463|-50.326356
"mozaico.mx"|25.686614|-100.316113
"AbluWater"|38.907192|-77.036871
"Bitwealth Systems"|9.081999|8.675277
"LifeSwift"|45.188529|5.724524
